time_sec,x,y,theta,v,w
4.44,-7.713327071980132e-12,-1.25441578351425e-25,3.25260140984782e-14,-4.674812067864955e-12,1.9704210661656232e-14
4.45,-7.760075236846373e-12,-1.2696671250306235e-25,3.2722928015128523e-14,-4.6748164866240824e-12,1.9691391665032183e-14
4.459,-7.806823371380365e-12,-1.2850104889781503e-25,3.2919750994321616e-14,-5.194237170443443e-12,2.186921991034361e-14
4.47,-7.853571495265035e-12,-1.3004458925028303e-25,3.3116710972623605e-14,-4.2498294440608415e-12,1.7905452572908135e-14
4.48,-7.900319666212973e-12,-1.3159733843270137e-25,3.331366056630167e-14,-4.6748170947937386e-12,1.9694959367806422e-14
4.49,-7.947067814513366e-12,-1.3315929295600797e-25,3.351057012920263e-14,-4.674814830039396e-12,1.969095629009598e-14
4.5,-7.993815970077068e-12,-1.3473045836588351e-25,3.370771435411129e-14,-4.674815556370148e-12,1.9714422490866008e-14
4.509,-8.040564161836605e-12,-1.3631083568011355e-25,3.390462549249352e-14,-5.194243528837434e-12,2.1879015375803176e-14
4.52,-8.087312337527927e-12,-1.3790041553116547e-25,3.410144437204714e-14,-4.249834153756535e-12,1.7892625413965887e-14
4.531,-8.134060552254762e-12,-1.3949920490926335e-25,3.429857421433637e-14,-4.24983770243957e-12,1.792089475356589e-14
4.54,-8.180808776013086e-12,-1.4110721106129481e-25,3.4495746628501513e-14,-5.19424708425823e-12,2.1908046018349526e-14
4.55,-8.227557012119033e-12,-1.4272443898551114e-25,3.4693085247471593e-14,-4.674823610594685e-12,1.9733861897008018e-14
4.559,-8.27430529177518e-12,-1.443508929302607e-25,3.4890392763391826e-14,-5.1942532951273156e-12,2.192305732447031e-14
4.569,-8.32105355135241e-12,-1.459865642470918e-25,3.5087455893366133e-14,-4.674825957722983e-12,1.970631299743071e-14
4.579,-8.367801825085679e-12,-1.4763144183731444e-25,3.528423738488548e-14,-4.674827373326795e-12,1.9678149151934506e-14
4.591,-8.414550095094119e-12,-1.4928552946596463e-25,3.548148842064878e-14,-3.8956891673700475e-12,1.643758631360865e-14
4.6,-8.461298363480492e-12,-1.5094883700712413e-25,3.567868921041766e-14,-5.194252042930275e-12,2.191119886320875e-14
4.61,-8.50804665008866e-12,-1.5262136854420258e-25,3.587608459753585e-14,-4.674828660816875e-12,1.97395387118189e-14
4.62,-8.554794947200038e-12,-1.5430312921848598e-25,3.6073516915290534e-14,-4.67482971113773e-12,1.9743231775468425e-14
4.63,-8.601543223936038e-12,-1.5599411664451625e-25,3.627085785513087e-14,-4.674827673599975e-12,1.973409398403385e-14
4.64,-8.648291496161588e-12,-1.5769432047585127e-25,3.646782318668108e-14,-4.674827222554931e-12,1.9696533155021007e-14
4.648,-8.695039778263541e-12,-1.5940372763193694e-25,3.666458207936139e-14,-5.843535262744185e-12,2.4594861585038282e-14
4.658,-8.741788116940942e-12,-1.611223429961048e-25,3.6861682715954576e-14,-4.67483386774016e-12,1.971006365931873e-14
4.6690000000000005,-8.78853646824337e-12,-1.6285017512256285e-25,3.7058876119596156e-14,-4.249850118402516e-12,1.7926673058325427e-14
4.68,-8.83528486744551e-12,-1.6458721918227577e-25,3.7255713871043847e-14,-4.249854472921896e-12,1.7894341040699146e-14
4.69,-8.882033246009692e-12,-1.6633346978451e-25,3.7452785369703643e-14,-4.674837856418309e-12,1.970714986597967e-14
4.7,-8.92878163200659e-12,-1.6808893238400066e-25,3.7649811738448034e-14,-4.67483859968972e-12,1.9702636874439123e-14
4.71,-8.97553001987543e-12,-1.6985361185570054e-25,3.784710065352474e-14,-4.674838786884001e-12,1.97288915076704e-14
4.72,-9.022278363664675e-12,-1.716275128722572e-25,3.804440149482535e-14,-4.6748343789245446e-12,1.9730084130061245e-14
4.73,-9.069026729506424e-12,-1.734106450559947e-25,3.8241994901305925e-14,-4.674836584174822e-12,1.975934064805739e-14
4.739,-9.11577509504324e-12,-1.7520301720197515e-25,3.843970831541447e-14,-5.194262837424041e-12,2.1968157123171884e-14
4.75,-9.162523470255291e-12,-1.7700461661606882e-25,3.863674218887076e-14,-4.249852292004564e-12,1.7912170314208253e-14
4.76,-9.20927182808199e-12,-1.7881543459060233e-25,3.883412775040677e-14,-4.674835782669896e-12,1.973855615360059e-14
4.769,-9.25602020361803e-12,-1.8063547989253604e-25,3.903147853276993e-14,-5.194263948448923e-12,2.1927864707018266e-14
4.779,-9.30276859562039e-12,-1.824647480449129e-25,3.9228674341985086e-14,-4.674839200236079e-12,1.971958092151529e-14
4.79,-9.349516989196114e-12,-1.8430323733643862e-25,3.9425976691004345e-14,-4.2498539614295e-12,1.7936577183569054e-14
4.8,-9.396265432376205e-12,-1.8615094520112799e-25,3.962298147734925e-14,-4.674844318009147e-12,1.9700478634490428e-14
4.8100000000000005,-9.443013856322296e-12,-1.880078671153562e-25,3.9820206441438436e-14,-4.674842394609082e-12,1.972249640891863e-14
4.819,-9.489762297867615e-12,-1.898740074103163e-25,4.0017333945916734e-14,-5.194271282813099e-12,2.1903056053144274e-14
4.829,-9.536510785326355e-12,-1.9174937064883617e-25,4.021470522647724e-14,-4.674848745873879e-12,1.9737128056050308e-14
4.844,-9.583259282735613e-12,-1.9363396108584591e-25,4.041207601575862e-14,-3.116566493950556e-12,1.3158052618758839e-14
4.849,-9.630007762731991e-12,-1.9552777095804524e-25,4.060916242219831e-14,-9.349695999275704e-12,3.9417281287937715e-14
4.859,-9.676756232309864e-12,-1.9743080614752474e-25,4.080677297262574e-14,-4.674846957787327e-12,1.976105504274344e-14
4.867,-9.72350469696224e-12,-1.9934307284141532e-25,4.10041146409144e-14,-5.843558081547086e-12,2.46677085360825e-14
4.88,-9.770253200991062e-12,-2.0126455577990303e-25,4.12009945237809e-14,-3.5960387714477554e-12,1.5144606374345776e-14
4.89,-9.817001714870876e-12,-2.0319524498311877e-25,4.1397960736245366e-14,-4.674851387981399e-12,1.9696621246446814e-14
4.9,-9.863750228795159e-12,-2.0513514480961002e-25,4.1595044330535676e-14,-4.674851392428322e-12,1.9708359429030975e-14
4.91,-9.910498758364142e-12,-2.070842573404822e-25,4.1792071749600905e-14,-4.674852956898177e-12,1.9702741906522866e-14
4.92,-9.95724725829544e-12,-2.090425786536416e-25,4.198906843831083e-14,-4.6748499931298934e-12,1.969966887099265e-14
4.93,-1.0003995796487217e-11,-2.1101011953201295e-25,4.218643541594395e-14,-4.674853819177716e-12,1.9736697763311993e-14
4.939,-1.0050744352110931e-11,-2.1298688107795045e-25,4.2383516299728814e-14,-5.19428395819058e-12,2.1897875976095934e-14
4.95,-1.0097492933185869e-11,-2.1497285315237764e-25,4.258043463789112e-14,-4.249871006812518e-12,1.7901667105664136e-14
4.96,-1.0144241488151015e-11,-2.1696803439748787e-25,4.277755114788177e-14,-4.67485549651471e-12,1.9711650999065217e-14
4.97,-1.0190990084874887e-11,-2.1897243828706767e-25,4.297492186940053e-14,-4.67485967238714e-12,1.9737072151876093e-14
4.98,-1.0237738664825388e-11,-2.2098605593288223e-25,4.317176527902832e-14,-4.674857995050146e-12,1.968434096277843e-14
4.99,-1.028448727282115e-11,-2.2300888262039064e-25,4.336885161770536e-14,-4.674860799576234e-12,1.970863386770417e-14
5.0,-1.033123588438504e-11,-2.250409211364671e-25,4.356585930090293e-14,-4.6748611563888635e-12,1.9700768319757278e-14
5.01,-1.0377984513452864e-11,-2.2708216466052156e-25,4.3762627748114884e-14,-4.674862906782449e-12,1.967684472119523e-14
